times1_sh;times1_mh;times1_lh;times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;;;;;;;;;;;;;;;;;;
1577995200;1578016800;1578038400;12.69400024;19.04937744;17.66316223;11.46878052;-2.339172363;-4.811981201;17.10761727;19.19245967;18.3068966;17.10761727;16.81074723;16.51387719;16.21700715;15.92013711;15.62326707;12.49196742;18.64805603;14.91844482;15.05451838;15.19059194;15.3266655;15.46273905;15.59881261;12.17411524;10.9;-1.274115243;-1.591967417;12.49196742;-0.592610026
1577998800;1578020400;1578042000;15.17631531;19.59472656;17.46206665;-2.139602661;-2.546615601;-4.082977295;15.32639703;19.75951821;17.93305538;15.32639703;15.07430239;14.82220774;14.5701131;14.31801846;14.06592382;12.5983552;19.66860771;15.73488617;15.19965617;14.66442617;14.12919617;13.59396617;13.05873617;12.17176742;10.4;-1.771767424;-2.198355199;12.5983552;-1.190486784
1578002400;1578024000;1578045600;13.62255859;19.07020569;18.01646423;-2.290802002;-3.683761597;-2.703872681;13.81382917;19.4227404;18.21823018;13.81382917;14.20139684;14.5889645;14.97653217;15.36409983;15.7516675;12.70474298;15.65438271;12.52350617;12.74510066;12.96669515;13.18828964;13.40988414;13.63147863;12.16941961;11.2;-0.969419605;-1.504742981;12.70474298;-0.488363542
1578006000;1578027600;1578049200;15.76622009;18.23854065;19.18823242;-3.449813843;-4.209091187;-0.950073242;16.13923516;18.7179276;19.21173867;16.13923516;16.04228319;15.94533122;15.84837924;15.75142727;15.6544753;12.81113076;17.3163414;13.85307312;14.12766927;14.40226542;14.67686157;14.95145772;15.22605387;12.16707179;12.1;-0.067071787;-0.711130763;12.81113076;0.313759701
1578009600;1578031200;1578052800;15.27606201;15.86552429;16.99125671;-2.945922852;-6.088882446;-6.995162964;15.55752333;16.9938033;18.37484992;15.55752333;15.83424977;16.11097622;16.38770267;16.66442911;16.94115556;12.91751854;19.37581253;15.50065002;15.65624135;15.81183268;15.96742401;16.12301534;16.27860667;12.16472397;11.8;-0.364723968;-1.117518545;12.91751854;-0.084117057
1578013200;1578034800;1578056400;17.05651855;16.13887024;19.78614807;-2.351730347;-4.789108276;-6.966567993;17.21788201;16.83444952;20.97676632;17.21788201;17.47171798;17.72555396;17.97938994;18.23322591;18.48706189;13.06983152;20.5427475;16.434198;16.5373375;16.64047699;16.74361649;16.84675598;16.94989548;12.25913366;12.2;-0.059133656;-0.86983152;13.06983152;0.175755002
1578016800;1578038400;1578060000;18.59724426;17.44111633;19.66355896;-2.315979004;-3.313980103;-6.412200928;18.74089787;17.75316882;20.68264663;18.74089787;18.83749544;18.934093;19.03069057;19.12728814;19.22388571;13.22214449;21.31629372;17.05303498;17.12877757;17.20452016;17.28026276;17.35600535;17.43174794;12.35354334;12.2;-0.153543344;-1.022144495;13.22214449;0.035627069
1578020400;1578042000;1578063600;18.9994812;16.93009949;20.76768494;-3.507247925;-2.958877563;-6.048812866;19.32048327;17.18671653;21.63064665;19.32048327;19.24882066;19.17715804;19.10549543;19.03383282;18.9621702;13.37445747;21.88436317;17.50749054;17.46254374;17.41759694;17.37265014;17.32770335;17.28275655;12.44795303;11.2;-1.247953032;-2.174457469;13.37445747;-1.104500872
1578024000;1578045600;1578067200;18.47999573;17.67016602;20.48913574;-3.916763306;-1.898147583;-9.050064087;18.89050759;17.77182408;22.39884692;18.89050759;18.84634331;18.80217903;18.75801475;18.71385048;18.6696862;13.52677044;21.54726219;17.23780975;17.1439242;17.05003865;16.9561531;16.86226755;16.76838201;12.54236272;11.4;-1.14236272;-2.126770444;13.52677044;-1.044628805
1578027600;1578049200;1578070800;18.20651245;18.99691772;20.28707886;-3.928482056;-1.576934814;-10.31271362;18.62552192;19.06225607;22.75780373;18.62552192;18.0565197;17.48751748;16.91851527;16.34951305;15.78051083;13.67908342;20.84312057;16.67449646;16.44263916;16.21078186;15.97892456;15.74706726;15.51520996;12.63677241;12.2;-0.436772408;-1.479083419;13.67908342;-0.384756746
1578031200;1578052800;1578074400;14.70985413;20.41821289;17.79042053;-3.874298096;-2.895111084;-11.55209351;15.21150861;20.62244132;21.21202317;15.21150861;15.12714431;15.04278001;14.95841572;14.87405142;14.78968712;13.83139639;19.10419083;15.28335266;15.26312358;15.24289449;15.22266541;15.20243632;15.18220724;12.7311821;11.8;-0.931182096;-2.031396394;13.83139639;-0.924884679
1578034800;1578056400;1578078000;13.71217346;20.9702301;15.4296875;-5.312515259;-4.675811768;-11.43106079;14.70532283;21.48519877;19.20271874;14.70532283;14.91112002;15.11691721;15.3227144;15.52851159;15.73430879;13.87939007;18.95247269;15.16197815;15.28508937;15.40820058;15.5313118;15.65442302;15.77753423;12.74810549;11.5;-1.248105492;-2.379390066;13.87939007;-1.269038864
1578038400;1578060000;1578081600;15.35466003;21.28713989;14.79559612;-4.280349731;-6.20942688;-10.66307068;15.94010598;22.17429383;18.23761884;15.94010598;16.10827155;16.27643713;16.4446027;16.61276828;16.78093385;13.92738374;19.87580681;15.90064545;15.82541784;15.75019023;15.67496262;15.59973501;15.52450739;12.76502889;12.7;-0.065028888;-1.227383739;13.92738374;-0.113193041
