times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;
1578398400;1578420000;1578441600;6.649366379;9.95465374;15.83809662;16.36894226;15.34410095;7.894475937;17.6679468;18.29034076;17.69655489
1578402000;1578423600;1578445200;6.593453407;15.90465164;17.43153;18.05770302;9.983081818;-3.94545269;19.22379427;18.77817527;17.87246024
1578405600;1578427200;1578448800;6.958368301;13.13874817;18.61245728;18.8609314;10.92732525;-1.940934181;20.10357238;17.08897716;18.71338535
1578409200;1578430800;1578452400;7.943044662;13.0068512;18.44185257;17.36072922;8.461022377;-0.418862343;19.09153942;15.51667096;18.44660868
1578412800;1578434400;1578456000;8.273269653;13.04142761;18.00103378;16.81000519;7.790574074;0.744972229;18.73561489;15.19117766;18.01644251
1578416400;1578438000;1578459600;9.300091743;11.42607117;17.73572159;16.09996605;9.204453468;2.161757469;18.59302593;14.67232313;17.86698116
1578420000;1578441600;1578463200;10.37959862;15.32812786;17.8593483;14.18187428;3.07968235;2.749958992;17.57445946;15.63444745;18.06982557
1578423600;1578445200;1578466800;10.57237244;14.20580673;18.39472008;10.87048435;0.535363197;4.110527039;15.16385469;14.21589106;18.84839938
1578427200;1578448800;1578470400;14.46640778;17.49192619;18.3678093;10.09416771;-0.588944435;4.601812363;17.63998797;17.50183812;18.93549829
1578430800;1578452400;1578474000;14.11639595;17.40486526;18.14479065;9.0806036;-0.041795731;4.591119766;16.78481446;17.40491545;18.71661851
1578434400;1578456000;1578477600;14.05355835;17.52268982;17.93722534;8.323040009;0.177242279;5.16277504;16.33326352;17.5235862;18.66543059
1578438000;1578459600;1578481200;15.51733875;17.72320557;18.64841652;6.464440346;1.495643616;4.969860077;16.81002055;17.78620154;19.29929915
1578441600;1578463200;1578484800;13.91829014;17.3252182;19.07165527;2.686166763;1.99283123;4.222455978;14.17512936;17.43945418;19.5334884
1578445200;1578466800;1578488400;13.50473976;17.95009232;19.52104759;1.592755318;3.06878376;2.258130074;13.59834054;18.21052574;19.65122008
1578448800;1578470400;1578492000;15.69803524;18.13677979;19.81485748;-0.368507385;3.898400307;2.624967575;15.70235995;18.551019;19.98797218
1578452400;1578474000;1578495600;16.59139633;18.15610504;19.467453;-0.03512764;4.848295212;2.487975121;16.59143352;18.79228876;19.62579289
1578456000;1578477600;1578499200;17.03220558;17.9658432;19.37088776;-0.19698143;5.218021393;2.085472107;17.03334461;18.7082674;19.48282542
1578459600;1578481200;1578502800;17.34726334;18.83671951;19.06259346;0.508245468;4.928264618;1.087135315;17.35470711;19.470742;19.09356783
1578463200;1578484800;1578506400;16.06431007;18.43766212;17.97098541;0.600074768;4.052193642;1.31788063;16.07551392;18.87770267;18.01924322
1578466800;1578488400;1578510000;17.13720131;19.01895142;17.5571022;2.367947578;2.533106804;0.827899933;17.30002441;19.1869003;17.57661105
1578470400;1578492000;1578513600;17.94957733;19.09501266;16.94735336;2.236978531;2.278879166;0.180389404;18.08843275;19.23051739;16.94831338
1578474000;1578495600;1578517200;17.50527954;19.11445618;15.9534483;2.827072144;2.172839165;-0.047088623;17.73209375;19.23755871;15.95351779
1578477600;1578499200;1578520800;17.35326767;18.96837616;15.41175747;4.063108444;2.002918243;-0.168701172;17.82259097;19.0738296;15.41268077
1578481200;1578502800;1578524400;18.25465202;18.48358536;14.5507431;4.196554184;1.532355309;-0.151678085;18.73081385;18.54699546;14.55153363
1578484800;1578506400;1578528000;17.00059509;17.61302948;13.24182415;2.752180099;0.978461266;-0.71645546;17.22192582;17.6401869;13.26119207
1578488400;1578510000;1578531600;18.64154816;17.57179642;11.68439102;1.995330811;0.939225197;0.013035774;18.7480309;17.59687965;11.68439829
1578492000;1578513600;1578535200;19.43709183;17.08070374;10.19192219;0.980504036;0.677597046;0.848380089;19.46180688;17.0941387;10.227171
1578495600;1578517200;1578538800;18.5564785;16.40428162;9.668488503;0.013703346;0.178726196;2.143093109;18.55648356;16.40525521;9.903156971
1578499200;1578520800;1578542400;18.10879135;15.60575294;9.089920998;0.800369263;-0.683502197;2.585617065;18.12647001;15.62071382;9.45050683
1578502800;1578524400;1578546000;17.83135414;14.68175125;9.301607132;1.20865345;-0.90397644;3.209389687;17.87226996;14.70955449;9.839719376
1578506400;1578528000;1578549600;15.83491516;12.57280254;9.121277809;-0.148161888;-1.634047508;4.169652939;15.8356083;12.67854389;10.02914326
